NONE;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;x;
AUS_657;Eastern Transylvania;Transylvanie orientale;Östliche Siebenbürgen;Wschodnia Transylvania;Transilvania oriental;Transilvania orientale;Östra Transsylvanien;Eastern Transylvania;Eastern Erdylvania;Oost-Transsylvanië;Transilvânia Oriental;;Itä-Transylvania;;
AUS_702;Galicia-Lodomeria;Galicia-lodomérien;Galizien-Lodomeria;Galicja-Lodomeria;Galicia-Lodomeria;Galizia-Lodomeria;Galicia-lodomeria;Galicia-lodomeria;Galicia-Lodomeria;Galicia-Lodomeria;Galicia-Lodomeria;;Galicia-Lodomeria;;
BAV_595;Franconia;Franconie;Franken;Frankonia;Franconia;Franconia;Franconia;Franconia;Franconia;Frankenland;Franconia;;Franconia;;
BAV_599;Upper Bavaria;Haute-Bavière;Oberbayern;Górna Bawaria;Baviera superior;Alta Baviera;Övre Bayern;Horní Bavorsko;Felso-Bajorország;Bovenste Beieren;Baviera superior;;Ylä-Baijeri;;
BEL_1990;Kivu;Kivu;Kivu;Kivu;Kivu;Kivu;Kivu;Kivu;Kivu;Kivu;Kivu;;Kivu;;
BEL_1996;Congo Orientale;Congo Orientale;Kongo orientale;Kongo Orientale;Congo Orientale;Congo orientale;Congo Orientale;Kongo Orientale;Kongói Orientale;Congo-orientale;Orientale do congo;;Congo Orientale;;
BEL_2034;Ruanda-Urundi;Ruanda-Urundi;Ruanda-Urundi;Ruanda-Urundi;Ruanda-Urundi;Ruanda-Urundi;Ruanda-Urundi;Ruanda-Irundi;Ruanda-Urundi;Ruanda-Urundi;Ruanda-Urundi;;Ruanda-Urundi;;
BEL_387;Flanders;Flamand;Flandern;Flandria;Flandes;Fiandre;Flanders;Flandry;Flandria;Vlaanderen;Flandres;;Flanderi;;
BEL_394;Wallonia;Wallonie;Wallonie;Walonia;De Valonia;Vallonia;Wallonia;Wallonia;Wallonia;Wallonië;Wallonia;;Vallonia;;
BOL_2309;Antofagasta;Anofagasta;Antofagasta;Antofagasta;Antofagasta;Antofagasta;Antofagasta;Antofagasta;Antofagasta;Antofagasta;Antofagasta;;Antofagasta;;
BRA;Brunswick;Brunswick;Braunschweig;Brunswick;Brunswick;Brunswick;braunschweig;Brunswick;Brunswick;Brunswick;Brunswick;;Brunswick;;
BRA_ADJ;Brunswicker;Brunswicker;Brunswicker;Brunwicker;Brunswicker;Brunswicker;Brunswicker;Brunswicker;Brunswicker;Brunswicker;Brunswicker;;Brunswicker;;
BRU_1394;West Borneo;Ouest Bornéo;West Borneo;West Borneo;West Borneo;West Borneo;West Borneo;Západ Borneo;Nyugat-Borneo;West Borneo;West Bornéu;;West Borneo;;
BRU_1396;Sabah;Sabah;Sabah;Sabah;Sabah;Sabah;Sabah;Sabah;Sabah;Sabah;Sabá;;Sabah;;
BRZ_2421;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Gúnyolódás;Goiás;Goiás;;Goiás;;
BRZ_2461;Santa Catarina;Santa Catarina;Santa Catarina;Santa Catarina;Santa Catarina;Santa Catarina;Santa Catarina;Santa Catarina;Santa Catarina;Santa Catarina;Papai Noel Catarina;;Santa Catarina;;
CAN_13;Columbia;Columbia;Columbia;Columbia;Columbia;Columbia;Columbia;Columbia;Kolumbia;Columbia;Columbia;;Kolumbia;;
CAN_19;New Caledonia;Nouvelle Calédonie;Neu-Kaledonien;Nowa Kaledonia;Nueva Caledonia;Nuova Caledonia;Nya Kaledonien;Nová Kaledonie;Új-Kaledónia;Nieuw-Caledonië;Nova Caledônia;;Uusi-Caledonia;;
CAN_46;Upper Canada;Haute-Canada;Oberkanada;Górna Kanada;Alto Canadá;Upper Canada;Övre Kanada;Horní Kanada;Felso-Kanada;Bovenste Canada;Canadá superior;;Ylempi Kanada;;
CAN_50;Northern Ontario;Nord de l'Ontario;Nord Ontario;Pólnocny Ontario;Northern Ontario;Ontario settentrionale;Norra Ontario;Severní Ontario;Észak-Ontario;Noord-Ontario;Northern Ontário;;Pohjois-Ontario;;
CAN_58;Lower Canada;Bas du Canada;Niederkanada;Dolna Kanada;Baja Canadá;Lower canada;Lägre Kanada;Dolní Kanada;Alsó kanada;Lager Canada;Lower Canada;;Alempi Kanada;;
CAN_60;Northern Quebec;Nord du Québec;Northern Quebec;Pólnocny Quebec;Quebec del norte;Northern Quebec;Northern Quebec;Severní Quebec;Észak-Quebec;Noord-Quebec;Northern Quebec;;Northern Quebec;;
CHI_1465;Eastern Mongolia;Mongolie orientale;Östliche Mongolei;Wschodnia Mongolia;Mongolia oriental;Mongolia orientale;Östra mongoliet;Východní Mongolsko;Kelet-Mongólia;Oost-Mongolië;Mongólia oriental;;Itä-Mongolia;;
CHI_1468;Western Mongolia;Mongolie occidentale;Westliche Mongolei;Zachodnia Mongolia;Mongolia occidental;Mongolia occidentale;Västra Mongoliet;Západní Mongolsko;Nyugat-Mongólia;Western Mongolia;Mongólia ocidental;;Western Mongolia;;
CHI_1470;South Anhui;Sud anhui;Südanhui;Poludniowy Anhui;Anhui del sur;ANHUI SUD;South Anhui;Jižní Anhui;Dél-anhui;Zuid-anhui;South Anhui;;Etelä-Anhui;;
CHI_1477;North Anhui;North Anhui;Nordanhui;North Anhui;North Anhui;North Anhui;Norra anhui;Severní Anhui;Észak-Anhui;Noord-Anhui;North Anhui;;Pohjois Anhui;;
CHI_1479;Fengtian;Fengtien;Fengtian;Fengtian;Fengtiano;Fengtiano;Fengtiker;Fengtian;Fengti;Fengtisch;Fengtian;;Fengtian;;
CHI_1482;Fujian;Fujian;Fujian;Fujian;Fujian;Fujian;Fujian;Fujian;Fujian;Fujian;Fujian;;Fujian;;
CHI_1485;Formosa;Formosa;Formosa;Formosa;Formosa;Formosa;Formosa;Formosa;Formosa;Formosa;Formosa;;Formosa;;
CHI_1490;Gansu;Gansu;Gansu;Gansu;Gansu;Gansu;Gans;Gansu;Gansu;Gansu;Gansu;;Gansu;;
CHI_1493;Canton;Canton;Kanton;Kanton;Cantón;Cantone;Kanton;Kanton;Kanton;Kanton;Cantão;;Kantoni;;
CHI_1496;Hong Kong;Hong Kong;Hongkong;Hongkong;Hong Kong;Hong Kong;Hong Kong;Hongkong;Hong Kong;Hong Kong;Hong Kong;;Hongkong;;
CHI_1499;Hainan;Hainan;Hainan;Hainan;Hainán;Hainan;Hainan;Hainan;Hainan;Hainan;Hainan;;Hainan;;
CHI_1502;Guangxi;Guangxi;Guangxi;Guangxi;Guangxi;Guangxi;Guangxi;Guangxi;Guangxi;Guangxi;Guangxi;;Guangxi;;
CHI_1505;Guizhou;Guizhou;Guizhou;Guizhou;Guizhou;Guizhou;Guizhou;Guizhou;Guizhou;Guizhou;Guizhou;;Guizhou;;
CHI_1508;East Henan;Henan Est;East Henan;Henan Wschodni;East Henan;East Henan;Östhenan;East Henan;Kelet-henan;Oost-Henan;East Henan;;Itä-Henan;;
CHI_1510;West Henan;West Henan;Westhenan;West Henan;West Henan;West Henan;Västra;Západní Henan;Nyugat-Henan;West Henan;West Henan;;West Henan;;
CHI_1519;West Hubei;West Hubei;West-Hubei;West Hubei;West Hubei;West Hubei;West Hubei;West Hubei;Nyugat-Hubei;West Hubei;West Hubei;;West Hubei;;
CHI_1522;East Hubei;East Hubei;East Hubei;East Hubei;Hubei oriental;East Hubei;East Hubei;East Hubei;Kelet-Hubei;Oost-Hubei;East Hubei;;East Hubei;;
CHI_1524;North Hunan;North Hunan;North Hunan;North Hunan;Hunan del norte;North Hunan;Norra hunan;Severní Hunan;North Hunan;Noord-Hunan;Hunan norte;;Pohjois-Hunan;;
CHI_1526;South Hunan;South Hunan;Südhunan;Poludniowy Hunan;Hunan del sur;South Hunan;Södra hunan;Jižní Hunan;Dél-hunan;Zuid-Hunan;Hunan Sul;;Etelä-Hunan;;
CHI_1532;Inner Mongolia;Mongolie intérieure;Innere Mongolei;Wewnetrzna Mongolia;Mongolia interior;Mongolia continentale;Inre Mongoliet;vnitrní Mongolsko;Belso-Mongólia;Inner Mongolia;Mongólia interior;;Sisä-Mongolia;;
CHI_1540;North Jiangsu;Jiangsu du Nord;North Jiangsu;North Jiangsu;Jiangsu del Norte;North Jiangsu;Norra jiangsu;Severní Jiangsu;Észak-jiangsu;Noord-Jiangsu;North Jiangsu;;Pohjois Jiangsu;;
CHI_1545;North Jiangxi;Jiangxi du Nord;North Jiangxi;North Jiangxi;Jiangxi del Norte;North Jiangxi;Nord Jiangxi;Severní Jiangxi;Észak-jiangxi;Noord-Jiangxi;North Jiangxi;;Pohjois Jiangxi;;
CHI_1547;South Jiangxi;Jiangxi du Sud;Südjiangxi;Poludniowy Jiangxi;Jiangxi del sur;South Jiangxi;South Jiangxi;Jižní Jiangxi;Dél-jiangxi;South Jiangxi;Sul Jiangxi;;Etelä Jiangxi;;
CHI_1552;Heilongjiang;Heilongjiang;Heilongjiang;Heilongjiang;Heilongjiang;Heilongjiang;Heilongjiang;Heilongjiang;Heilongjiang;Heilongjiang;Heilongjiang;;Heilongjiang;;
CHI_1555;Kirin;Kirin;Kirin;Kirin;Kirin;Kirin;Kirin;Kirin;Kirin;Kirin;Kirin;;Kirin-;;
CHI_1559;Shaanxi;Shaanxi;Shaanxi;Shaanxi;Shaanxi;Shaanxi;Shaanxi;Shaanxi;Shaanxi;Shaanxi;Shaanxi;;Shaanxi;;
CHI_1563;West Shandong;West Shandong;West Shandong;West Shandong;West Shandong;Shandong occidentale;West Shandong;West Shandong;Nyugati shandong;West Shandong;West Shandong;;West Shandong;;
CHI_1565;East Shandong;Shandong est;East Shandong;Wschodni shandong;East Shandong;Shandong orientale;Öst shandong;East Shandong;Keleti shandong;Oost-Shandong;Shandong East;;East Shandong;;
CHI_1572;Shanxi;Shanxi;Shanxi;Shanxi;Shanxi;Shanxi;Shanxi;Shanxi;Shanxi;Shanxi;Shanxi;;Shanxi;;
CHI_1578;West Sichuan;Sichuan occidental;West Sichuan;West Sichuan;West Sichuan;West Sichuan;Västra sichuan;Západní Sichuan;West Sichuan;West Sichuan;West Sichuan;;West Sichuan;;
CHI_1579;East Sichuan;Sichuan oriental;East Sichuan;East Sichuan;East Sichuan;East Sichuan;Östra sichuan;East Sichuan;East Sichuan;Oost-Sichuan;Leste sichuan;;East Sichuan;;
CHI_1594;Kashgar;Kashgar;Kashgar;Kashgar;Kashgar;Kashgar;Kashgar;Kašgar;Kashgar;Kashgar;Kashgar;;Kashgar;;
CHI_1600;Urumqui;Urumqui;Urumqui;Urumqui;Urumqui;Urumqui;Urumqui;Urumqui;Urumqui;Urumqui;Urumqui;;Urumqui;;
CHI_1601;Yunnan;Yunnan;Yunnan;Yunnan;Yunnan;Yunnan;Yunnan;Yunnan;Yunnan;Yunnan;Yunnan;;Yunnan;;
CHI_1604;North Zhejiang;North Zhejiang;Nordzhejiang;North Zhejiang;Norte zhejiang;North Zhejiang;North Zhejiang;Severní Zhejiang;Észak-Zhejiang;North Zhejiang;North Zhejiang;;Pohjois-Zhejiang;;
CHI_1610;South Zhejiang;Sud Zhejiang;Süd Zhejiang;Poludniowy Zhejiang;South Zhejiang;South Zhejiang;South Zhejiang;Jižní Zhejiang;Dél-Zhejiang;South Zhejiang;Sul zhejiang;;Etelä-Zhejiang;;
CHI_1612;Baoding;Baoding;Baoding;Baoding;Baooding;Baoding;Baoding;Baoding;Baoding;Baoding;Baoding;;Baoding;;
CHI_1616;Peking;Panking;Peking;Peking;Pekín;Peking;peking;Peking;Peking;Peking;Pequim;;Peking;;
CHI_2221;South Jiangsu;Jiangsu du Sud;Südjiangsu;Poludniowy Jiangsu;South Jiangsu;South Jiangsu;Södra jiangsu;Jižní Jiangsu;Dél-jiangsu;South Jiangsu;Sul Jiangsu;;Etelä-Jiangsu;;
CHI_2678;Outer Mongolia;Mongolie extérieure;Äußere Mongolei;Zewnetrzna Mongolia;Mongolia exterior;Outer Mongolia;Yttre mongoliet;Vnejší mongolsko;Külso mongolia;Buitenste Mongolië;Mongólia exterior;;Ulompi Mongolia;;
DAI_1369;Tonkin;Tonkin;Tonkin;Tonkin;Tonelada;Tonkin;Tonkin;Tonkin;Tonkin;Tonkin;Tonca;;Tonkin;;
DAI_1375;Annam;Annamelle;Annam;Annam;Annam;Annam;Annamera;Annam;Anam;Annam;Annam;;Antaa;;
DAI_1380;Cochinchina;Cochinchina;Cochinchina;Cochinchina;Cochinchina;Cochinchina;Cochinchina;Cochinchina;Cochinchina;Cochinchina;Cochinchina;;Cochinchina;;
EGY_1745;Cairo;Caire;Kairo;Kair;El Cairo;Cairo;Kairo;Cairo;Kairó;Cairo;Cairo;;Kairo;;
EGY_1751;Alexandria;Alexandrie;Alexandria;Alexandria;Alexandria;Alexandria;Alexandria;Alexandrie;Alexandria;Alexandrië;Alexandria;;Alexandria;;
EGY_1753;Qattara;Qattara;Qattara;Qattara;Qattara;Qattara;Qattara;Qattara;Qattara;Qattara;Qattara;;Qattora;;
EGY_1755;Sinai;Sinaï;Sinai;Synaj;Sinaí;Sinai;Snai;Sinai;Sinai;Sinaï;Sinai;;Sinai;;
ENG_1243;Bundelkhand;Bundelkhand;Bundelkhand;Bundelkhand;Bundelkand;Bundelkhand;Bundelkhand;Bundelkand;Bundelkhand;Bundelkhand;Bundelkhand;;Bundelkhand;;
ENG_1244;Awadh;Aveugle;Awadh;Awadh;Awadh;Awadh;Awadh;Awadh;Awadh;Awadh;Awadh;;Awadh;;
ENG_1384;Southern Malaya;Sud de Malaisie;Südmalaya;Poludniowa Malaya;Malaya meridional;Malaya del sud;Södra malaya;Jižní malája;Southern Malaya;Zuid-Malaya;Malaya do sul;;Etelä-Malaya;;
ENG_1391;Northern Malaya;Northern Malaya;Nord Malaya;Pólnocny Malaya;Northern Malaya;Northern Malaya;Norra malaya;Severní Malaya;Észak-Malaya;Noord-Malaya;Malaya do norte;;Pohjois-Malaya;;
ENG_1844;Sudd;Sudd;Sudd;Sudd;Sudd;Suddetto;Sudd;Sudd;Sudd;Sudd;Sudd;;Sudd;;
ENG_1956;Cameroon;Cameroun;Kamerun;Kamerun;Camerún;Camerun;Kamerun;Kamerun;Kamerun;Kameroen;Camarões;;Kamerun;;
ENG_2036;Zanzibar;Zanzibar;Sansibar;Zanzibar;Zanzíbar;Zanzibar;Zanzibar;Zanzibar;Zanzibár;Zanzibar;Zanzibar;;Zanzibar;;
ENG_2044;Tanganyika;Tanganyika;Tanganyika;Tanganyika;Tanganica;Tanganyika;Tanganyika;Tanganyika;Tangányika;Tanganyika;Tanganyika;;Tanganyika;;
ENG_2048;Zanzibar;Zanzibar;Sansibar;Zanzibar;Zanzíbar;Zanzibar;Zanzibar;Zanzibar;Zanzibár;Zanzibar;Zanzibar;;Zanzibar;;
ENG_2067;Nyasaland;Nyasaland;Nyasaland;Nyasaland;Nyasaland;Nyasaland;Nyasaland;Nyasaland;Nézaland;Nyasaland;Nyasaland;;Nyasaland;;
ENG_2068;Mashonaland;Mashonaland;Mashonaland;Mashonaland;Mashonaland;Mashonaland;Mashonaland;Mashonaland;Mashonaland;Mashonaland;Mashonaland;;Mashonaland;;
ENG_2071;Matabeleland;Matabeleland;Matabeleland;Matabelland;Matabeleland;Matabeleland;Matabeleland;Matabeleland;Matabéland;Matabeleland;Matabeleland;;Matabeland;;
ENG_2074;Bechuanaland;Bechuanaland;Bechanaland;Bechuanaland;Bechuanaland;Becuanaland;Bechuanaland;Bechuanaland;Bechuanaland;Bechuanaland;Bechuanaland;;Bechuanaland;;
ENG_2094;Kimberley;Kimberley;Kimberley;Kimberley;Kimberley;Kimberley;Kimberley;Kimberley;Kimberley;Kimberley;Kimberley;;Kimberley;;
ENG_258;Connacht;Connacht;Connacht;Connacht;Connache;Connacht;Knäpp;Connacht;Connacht;Spacht;Connacht;;Connacht;;
ENG_263;Leinster;Leinster;Leinster;Leinster;Leinster;Leinster;Leinster;Leadster;Leinster;Leinster;Leinster;;Leinster;;
ENG_68;Maritimes;Maritimes;Maritimes;Maritimes;Maritimes;Maritimes;Maritimes;Maritimes;Maritimes;Maritimeren;Maritimes;;Maritimes;;
ETH_1852;Begemder;Béguier;Begeistert;Zaczynajacy sie;Subcuento;Allegatura;Påbörjare;Zacíná;Könyörög;Begemiddel;Begemder;;Begment;;
ETH_1853;Tigray;Tigray;Tigray;Tigray;Tigray;Tigrazza;Tigray;Thigray;Tigraf;Tigray;Tigray;;Trafy;;
ETH_1859;Shewa;Shewa;Shewa;Shewa;Shewa;Shewa;Hon WA;Shewa;Shewa;Shewa;Shewa;;Shewa;;
ETH_1862;Gibe;Moquerie;Stichelei;Kpina;Burla;Gob;Gliring;Posmívat se;Csúfolódás;Gaf;Gibe;;Huijari;;
ETH_1865;Hararghe;Harier;Hararghe;Hararghe;Hararghe;Hararghe;Hargerg;Hararghe;Hararghe;Hararghe;Hararghe;;Harrarhe;;
FRA_1878;Lower Guinea;Basse-Guinée;Lower Guinea;Nizsza Gwinea;Guinea más baja;Guinea inferiore;Lägre guinea;Nižší guinea;Alsó-guinea;Lagere Guinea;Lower Guiné;;Ala-Guinea;;
FRA_1883;Upper Guinea;Haute-Guinée;Oberguinea;Górna Gwinea;Guinea superior;Guinea superiore;Övre guinea;Horní guinea;Felso guinea;Bovenste Guinea;Guiné superior;;Ylempi guinea;;
FRA_1919;Dahomey;Dahomey;Dahomey;Dahomey;Dahomey;Dahomey;Dahomey;Dahomey;Dahomey;Dahomeyy;Daomé;;Dahomey;;
FRA_1970;Bangassou;Bangassou;Bangassou;Bangassou;Bagassou;Bangassou;Bangassou;Bangassou;Bangasou;Bangassou;Bangassou;;Bangassou;;
FRA_801;Tahiti;Tahiti;Tahiti;Tahiti;Tahiti;Tahiti;Tahiti;Tahiti;Tahiti;Tahiti;Taiti;;Tahiti;;
HAN_528;Lower Elbe;Bas elbe;Lower Elbe;Lower Elbe;Elba menor;Lower Elbe;Lägre elbe;Dolní Labe;Alsó elbe;Lower Elbe;Lower Elbe;;Alempi Elbe;;
HAN_534;Hanover;Hanover;Hannover;Hanower;Hanovre;Hannover;Honover;Hannover;Hannover;Hannover;Hanôver;;Hanover;;
HAN_540;East Friesland;Friesland est;East Friesland;Wschodnia Fryzja;East Friesland;East Friesland;East Friesland;Východní Friesland;Kelet-Friesland;East Friesland;East Friesland;;East Friesland;;
HES_2560;Hessen;Hessen;Hessen;Hessen;Hessen;Assia;Hessen;Hessen;Hessen;Hessen;Hessen;;Hessen;;
HOL_369;Holstein;Holstein;Holstein;Holsztyn;Holstein;Holstein;Holstein;Holstein;Holstein;Holstein;Holstein;;Holstein;;
JAP_1086;Sakhalin;Sakhalin;Sakhalin;Sachalin;Sakhalin;Sakhalin;Sakhalin;Sakhalin;Szahalin;Sakhalin;Sakhalin;;Sakhalin;;
JAP_1088;Ezo;Ezo;Ezo;Ezo;Ezo;Ezo;Ezo;Ezo;Ezo;Ezo;Ezo;;Ezo;;
JAP_1640;Chugoku;Chugoku;Chugoku;Chugoku;Chugoku;Chugoku;Chugoku;Chugoku;Chugoku;Chugoku;Chugoku;;Chugoku;;
JAP_1649;Kanto;Kanto;Kanto;Kanto;Kanto;Kanto;Kanto;Kanto;Kanto;Kanto;Kanto;;Kanto;;
JAP_1654;Bonin Islands;Îles Bonin;Bonininseln;Islands Bonin;Bonin Islands;Isole Bonin;Boninöarna;Boninské ostrovy;Bonin-szigetek;Bonin-eilanden;Ilhas Bonin;;Bonin saaret;;
JAP_1655;Kansai;Kansai;Kansai;Kansai;Kansai;Kansai;Kansai;Kansai;Kansai;Kansai;Kansai;;Kansai;;
JAP_1660;Kyushu;Kyushu;Kyushu;Kyushu;Kyushu;Kyushu;Kyushu;Kyushu;Kyushu;Kyushu;Kyushu;;Kyushu;;
JAP_1665;Shikoku;Shikoku;Shikoku;Shikoku;Shikoku;Shikoku;Shikoku;Shikoku;Shikoku;Shikoku;Shikoku;;Shikoku;;
JAP_1672;Tohoku;Tohoku;Tohoku;Tohoku;Tohoku;Tohoku;Tohoku;Tohoku;Tohoku;Tohoku;Tohoku;;Tohoku;;
JAP_1675;Chubu;Chubu;Chubu;Chubu;Chubu;Chubu;Chubu;Chubu;Chubu;Chubu;Chubu;;Chubu;;
KOK_1210;Bandakshan;Bandakshan;Bandakshan;Bandakshan;Bandakshan;Bandakshan;Bandakshan;Bandakshan;Bandakshan;Bandakshan;Bandakshan;;Bandakshan;;
LUA_1356;Laos;Laos;Laos;Laos;Laos;Laos;Laos;Laos;Laosz;Laos;Laos;;Laos;;
MEX_2181;Chiapas;Chiapas;Chiapas;Chiapas;Chiapas;Chiapas;Chiapas;Chiapas;Chiapas;Chiapas;Chiapas;;Chiapas;;
MEX_94;Nevada;Nevada;Nevada;Nevada;Nevada;Nevada;Nevada;Nevada;Nevada;Nevada;Nevada;;Nevada;;
MEX_97;Utah;Utah;Utah;Utah;Utah;Utah;Utah;Utah;Utah;Utah;Utah;;Utah;;
MOL_676;Bessarabia;Bessarabia;Bessarabien;Bessarabia;Bessarabia;Bessarabia;Bessarabia;Bessarabia;Besarabia;Bessarabia;Bessarabia;;Bessarabia;;
MOR_1693;Marrakesh;Marrakech;Marrakesch;Marrakesz;Marrakech;Marrakesh;Marrakesh;Marrakesh;Marrakesh;Marrakesh;Marraquexe;;Marrakesh;;
MOR_1694;Agadir;Agradir;Agadir;Agadir;Agadir;Agadir;Agadir;Agadir;Agadir;Agadir;Agadir;;Agadir;;
NEP_1326;Western Himalayas;Himalaya occidental;Western Himalayas;Zachodni Himalaje;Himalaya occidental;Himalaya occidentale;Västra Himalaya;Západní Himalájí;Nyugati Himalája;West-Himalaya's;Himalaia Ocidental;;Western Himalajan;;
NET_1401;Siak;Siak;Siak;Siak;Siak;Siak;Siak;Siak;Siak;Siak;Siak;;Siak;;
NET_1413;West Java;Java Ouest;West Java;West Java;Java Occidental;Java occidentale;västra Java;západní Jáva;Nyugat-Jáva;West Java;Java do Oeste;;Länsi Java;;
NET_1418;East Java;Java oriental;Ost-Java;Wschodni Java;Java Oriental;Java orientale;östra Java;východní Jáva;Kelet Java;Oost Java;Java Leste;;Itä-Jaava;;
NET_1423;East Borneo;East Bornéo;East Borneo;Wschód Borneo;Embarcadero;East Borneo;East Borneo;East Borneo;East Borneo;Oost Borneo;Leste Borneo;;East Borneo;;
NET_1426;South Borneo;Sud Bornéo;Südborneo;Poludniowy Borneo;South Borneo;South Borneo;South Borneo;Jižní Borneo;Dél-borna;Zuid-Borneo;Bornéu sul;;Etelä-Borneo;;
NET_1446;Timor;Timor;Timor;Timor;Timor;Timor;Timor;Timor;Timor;Timor;Timor;;Timor;;
NET_1447;Moluccas;Molucces;Molukkas;Moluccas;Moluccas;Moluccas;Moluccas;Molukcas;Molukcas;Molukka's;Moluccas;;Molukcas;;
NET_1449;Celebes;Célébrités;Celebes;Celebes;Celebres;Celebes;Celebes;Celebes;Celebes;Celebes;Celebes;;Julkkikset;;
NET_2235;Leeward Antilles;Antilles sous le vent;Lee-Antillen;Antyle zawietrzne;Antillas de sotavento;Antille sottovento;Leward antilles;Leeward Antilles;Leeward Antillák;Leeward Antillen;Antilhas de Leeward;;Leeward Antillit;;
NET_379;Zeeland;Zélande;Zeeland;Zeeland;Zelanda;Zelanda;Zeeland;Zeeland;Zeeland;Zeeland;Zeeland;;Zeeland;;
PAN_1233;Amritsar;Amritsar;Amritsar;Amritsar;Amritsar;Amritsar;Amritsar;Amritsar;Amritsar;Amritsar;Amritsar;;Amritsar;;
PER_1116;Mazandaran;Mazandaran;Mazandaran;Mazandaran;Mazandarano;Mazandaran;Mazandaran;Mazandaran;Mazandaran;Mazandaran;Mazandaran;;Mazandaran;;
PER_1128;Lorestan;Lorestan;Lorestan;Lorestan;Lorestano;Lorestan;Lorestan;Lorestan;Lorestan;Lorestan;Lorestan;;Lorestan;;
PER_1132;Khuzestan;Khuzestan;Khuzestan;Khuzestan;Khuzestan;Khuzestan;Khuzestan;Khuzestan;Khuzestan;Khuzestan;Khuzestan;;Khuzestan;;
PER_1136;Fars;Élasticité;Viele;Daleki;Farsa;Lontano;Faror;Fars;Messze;Fars;Fars;;Pitkät;;
PER_1140;Kerman;Kerman;Kerman;Kerman;Kerman;Kerman;Knep;Kerman;Kerman;Kerman;Kerman;;Kerman;;
PEU_2308;Arica;Arica;Arika;Arica;Arica;Arica;Ariska;Arica;Arika;Arica;Arica;;Arica;;
POR_2054;Tete;Tete;Tete;Tete;Tete;Tete;Torn;Teta;Tete;Tete;Tete;;Teete;;
PROV1082;Haishenwai;Harishenwai;Haishenwai;Haishenwai;Haishenwai;Haishenwai;Haishenwai;Haishenwai;Haishenwai;Haishenwai;Haishenwai;;Haidenwai;;
